Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
"serine palmitoyltransferase, long chain base subunit 1",SPTLC1,10558,metabolic enzyme,other neurodegenerative,microarray expression,,,Sptlc1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Other transferase,Lipid metabolism,
Signal recognition particle 9kDa ,SRP9,6726,other intracellular,,HLS: (IMAGE clone ID)32257,,,Srp9,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,sparse to none,,,Molecular function unclassified,Biological process unclassified,
somatostatin,SST,6750,peptide ligand,depression,,interneuron,interneuron,Sst,,,,,17 ≠ 18,yes,,,scattered,high,+++++,"scattered(2/3,5/6)",+++++,scattered,+++++,scattered,+++++,scattered,+++++,scattered,Peptide hormone,G-protein mediated signaling;Other neuronal activity,
somatostatin receptor 1  ,SSTR1,6751,GPCR,,,,,Sstr1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous(4C),++,"ubiquitous(2,6)",,,++,"ubiquitous(5,6)",,,G-protein coupled receptor,G-protein mediated signaling;Cell proliferation and differentiation,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gs-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;;;
somatostatin receptor 3  ,SSTR3,6753,GPCR,,,,,Sstr3,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++,ubiquitous,,,G-protein coupled receptor,G-protein mediated signaling;Cell proliferation and differentiation,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gs-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;;;
somatostatin receptor 4  ,SSTR4,6754,GPCR,,,layer 5/6,,Sstr4,h Down,,h Down,,,,,,ND,low,-,none,-,none,-,none,++++,"layer 5,6",++++,"layer 5,6",G-protein coupled receptor,G-protein mediated signaling;Cell proliferation and differentiation,Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gi protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway->Gs-protein coupled receptor;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Go-protein coupled receptor;;;;
START domain containing 8,STARD8,9754,signal transduction,,,layer 2/3,,Stard8,h Down,,h Down,,,,,,ND,low,+,scattered,+,scattered,+,scattered,++++,layer 2/3,++++,layer 2/3,Other G-protein modulator,Signal transduction,PDGF signaling pathway->GTPase-activating protein Rho;;
six transmembrane epithelial antigen of the prostate 2,STEAP2,261729,other membrane protein,,,,,Steap2,h Up,,h Up,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,++,sparse,+,little to none,Molecular function unclassified,Biological process unclassified,
"striatin, calmodulin binding protein",STRN,6801,signal transduction,,,,,Strn,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,ubiquitous,Other miscellaneous function protein,Protein targeting and localization,
syntaxin 10,STX10,8677,synaptic protein,,,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,,,,,SNARE protein,Exocytosis,Alpha adrenergic receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;
syntaxin 11  ,STX11,8676,synaptic protein,,,,,Stx11,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+,ubiquitous,,,SNARE protein,General vesicle transport;Protein targeting and localization,Muscarinic acetylcholine receptor 2 and 4 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Ionotropic glutamate receptor pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;;
syntaxin 12  ,STX12,23673,synaptic protein,,,,,Stx12,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,++++,ubiquitous,++++,ubiquitous,SNARE protein,General vesicle transport;Protein targeting and localization,Parkinson disease->Syntaxin;;Adrenaline and noradrenaline biosynthesis->N-ethylmaleimide-sensitive factor attachment protein receptor;;;
syntaxin 16,STX16,8675,synaptic protein,,,,,Stx16,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++,ubiquitous,,,SNARE protein,General vesicle transport,
syntaxin 17,STX17,55014,synaptic protein,,,,,Stx17,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,SNARE protein,General vesicle transport;Neurotransmitter release,
syntaxin 18,STX18,53407,synaptic protein,,,,,Stx18,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,-,none,,,Transporter;SNARE protein,Ligand-mediated signaling;Regulated exocytosis;Transport;Neurotransmitter release,
syntaxin 19  ,STX19,415117,synaptic protein,,,,,Stx19,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,SNARE protein,General vesicle transport;Protein targeting,Ionotropic glutamate receptor pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;
syntaxin 1B,STX1B,112755,synaptic protein,,,,,Stx1b,no mouse data,,no mouse data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,,,,,SNARE protein,Regulated exocytosis;Protein targeting;Small molecule transport;Synaptic transmission,Metabotropic glutamate receptor group II pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Nicotinic acetylcholine receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Metabotropic glutamate receptor group III pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Muscarinic acetylcholine receptor 1 and 3 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Synaptic_vesicle_trafficking->Syntaxin 1/2;;;;;;;
syntaxin 2  ,STX2,2054,synaptic protein,,,,,Stx2,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,,,++,ubiquitous,,,SNARE protein,Regulated exocytosis;Protein targeting;Small molecule transport;Synaptic transmission,Synaptic_vesicle_trafficking->Syntaxin 1/2;;
syntaxin 3  ,STX3,6809,synaptic protein,,,,,Stx3,,,,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,SNARE protein,Regulated exocytosis;Protein targeting;Small molecule transport;Synaptic transmission,Thyrotropin-releasing hormone receptor signaling pathway->SNARE COMPLEX;;Opioid proopiomelanocortin pathway->SNARE COMPLEX;;Dopamine receptor mediated signaling pathway->SNARE Complex;;Nicotinic acetylcholine receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;Cortocotropin releasing factor receptor signaling pathway->SNARE COMPLEX;;5HT2 type receptor mediated signaling pathway->SNARE Complex;;Opioid prodynorphin pathway->SNARE COMPLEX;;Beta3 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT1 type receptor mediated signaling pathway->SNARE Complex;;Opioid proenkephalin pathway->SNARE COMPLEX;;Oxytocin receptor mediated signaling pathway->SNARE COMPLEX;;Beta2 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT4 type receptor mediated signaling pathway->SNARE Complex;;Beta1 adrenergic receptor signaling pathway->SNARE COMPLEX;;5HT3 type receptor mediated signaling pathway->SNARE Complex;;;;;;;;;;;;;;;;;
syntaxin 4  ,STX4,6810,synaptic protein,,,,,Stx4a,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++++,ubiquitous,,,SNARE protein,Regulated exocytosis;Protein targeting;Small molecule transport;Synaptic transmission,
syntaxin 5,STX5,6811,synaptic protein,,,,,Stx5a,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,ubiquitous,,,SNARE protein,Intracellular protein traffic,
syntaxin 6,STX6,10228,synaptic protein,,,,,Stx6,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++,ubiquitous,,,SNARE protein,Exocytosis,Alpha adrenergic receptor signaling pathway->N-ethylmaleimide-sensitive factor attachment protein receptor;;
syntaxin 7  ,STX7,8417,synaptic protein,,,,,Stx7,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++++,ubiquitous,,,SNARE protein,Endocytosis,Parkinson disease->Syntaxin;;Adrenaline and noradrenaline biosynthesis->N-ethylmaleimide-sensitive factor attachment protein receptor;;;
syntaxin 8,STX8,9482,synaptic protein,,,,,Stx8,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,SNARE protein,General vesicle transport;Neurotransmitter release,
syntaxin binding protein 1,STXBP1,6812,synaptic protein,,,,,Stxbp1,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Regulated exocytosis;Transport;Neurotransmitter release,Synaptic_vesicle_trafficking->Munc18;;,
syntaxin binding protein 2,STXBP2,6813,synaptic protein,,,,,Stxbp2,h Down,,h Down,,,,,,ND,low,-,none,-,none,-,none,++++,ubiquitous,++++,ubiquitous,Membrane traffic regulatory protein,Regulated exocytosis;Transport;Neurotransmitter release,Synaptic_vesicle_trafficking->Munc18;;
syntaxin binding protein 4,STXBP4,252983,synaptic protein,,,,,Stxbp4,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,Cytoskeletal protein;Other cell junction protein,Biological process unclassified,
syntaxin binding protein 5 (tomosyn)  ,STXBP5,134957,synaptic protein,,,,,Stxbp5,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,medium,+++,ubiquitous(5/6),+++,ubiquitous,,,++++,ubiquitous,,,Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,
syntaxin binding protein 6 (amisyn),STXBP6,29091,synaptic protein,,,,,Stxbp6,,,,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++++,"scattered+layer 2/3,5",+++++,"scattered+layer 2/3,5",Other transfer/carrier protein,Regulated exocytosis;General vesicle transport;Transport,
sulfatase 1,SULF1,23213,metabolic enzyme,,,layer 6,interneuron/layer4/5,Sulf1,,hV-mV,,hT-mT,17 ≠ 18,no,,,laminar,high,++++,"scattered(4,5/6)",+++,"scattered(4,5/6)",+++,"scattered(4,5/6)",+++,layer 6,+++,layer 6,Other hydrolase,Other sulfur metabolism,
synaptic vesicle glycoprotein 2A,SV2A,9900,synaptic protein,,,,,Sv2a,,,no mouse coronal data,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,,,+++++,scattered+ubiquitous,,,Other transfer/carrier protein,Neurotransmitter release,
synaptic vesicle glycoprotein 2B,SV2B,9899,synaptic protein,,,,,Sv2b,,,,,17 ≠ 18,yes,,,widespread,high,+++++,"layer 2/3,4C,5/6",++++,ubiquitous,++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Other transfer/carrier protein,Neurotransmitter release,
synaptic vesicle glycoprotein 2C,SV2C,22987,synaptic protein,,,,layer 3,Sv2c,,hV-mV,,hT-mT,17 ≠ 18,no,,,laminar,high,++++,scattered(2/3/4),++++,layer 3+scattered,++++,layer 3+scattered,++++,sparse,++++,sparse,Other transfer/carrier protein,Neurotransmitter release,
synapsin I ,SYN1,6853,synaptic protein,epilepsy,,,,Syn1,,,,,17 ≠ 18,yes,,,widespread,high,+++++,"ubiquitous(2/3,4C,5/6)",+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Non-motor actin binding protein;Membrane traffic regulatory protein,General vesicle transport;Synaptic transmission,Synaptic_vesicle_trafficking->Synapsin;;
synapsin II ,SYN2,6854,synaptic protein,schizophrenia,,,,Syn2,,,,,17 ≠ 18,yes,,,laminar,high,+++++,"scattered+ubiquitous(2/3,4C,5,6)",++++,"ubiquitous(5,6)",++++,"ubiquitous(5,6)",++++,ubiquitous,++++,ubiquitous,Non-motor actin binding protein;Membrane traffic regulatory protein,General vesicle transport;Synaptic transmission,Synaptic_vesicle_trafficking->Synapsin;;
synapsin III  ,SYN3,8224,synaptic protein,,,,,Syn3,,,,,,,,,laminar,medium,+++,"layer 2/3(4C,6)",+++,layer 2/3(6),+++,layer 2/3(6),+++,ubiquitous,+++,layer 2/3+scattered,Non-motor actin binding protein;Membrane traffic regulatory protein,General vesicle transport;Synaptic transmission,Synaptic_vesicle_trafficking->Synapsin;;
"spectrin repeat containing, nuclear envelope 1",SYNE1,23345,cytoskeletal protein,schizophrenia,,,,Syne1,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,++++,ubiquitous(2/3),++++,ubiquitous(2/3),Molecular function unclassified,Biological process unclassified,
synaptic Ras GTPase activating protein 1 homolog (rat)  ,SYNGAP1,8831,synaptic protein,,,,,Syngap1,,,no mouse coronal data,,,,,,widespread,high,++++,"ubiquitous(2/3,4C,6)",++++,ubiquitous,,,+++++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,PDGF signaling pathway->Ras GTPase Activity Protein;;FGF signaling pathway->p120 Ras GTPase-activating protein;;EGF receptor signaling pathway->GAP;;;;
synaptogyrin 1  ,SYNGR1,9145,synaptic protein,,,,,Syngr1,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,Membrane traffic regulatory protein,Neuronal activities,
synaptogyrin 2  ,SYNGR2,9144,synaptic protein,,,,,Syngr2,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+++,ubiquitous,,,Membrane traffic regulatory protein,Neuronal activities,
synaptogyrin 3,SYNGR3,9143,synaptic protein,,,,,Syngr3,,,,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,Membrane traffic regulatory protein,Neuronal activities,
synaptogyrin 4,SYNGR4,23546,synaptic protein,,,,,Syngr4,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,-,none,,,Membrane traffic regulatory protein,Neuronal activities,
synaptojanin 1  ,SYNJ1,8867,synaptic protein,,,,,Synj1,,,,,,,,,widespread,medium,+++,"ubiquitous(2/3,4C,5/6)",+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Other phosphatase,Phospholipid metabolism;Other intracellular protein traffic,Huntington disease->Synaptojanin;;
synaptojanin 2,SYNJ2,8871,synaptic protein,,,,,Synj2,,,,,,,,,laminar,high,++++,ubiquitous(6),++++,ubiquitous(6),++++,ubiquitous(6),++++,ubiquitous,++++,ubiquitous,Other phosphatase,Phospholipid metabolism;Other intracellular protein traffic,Huntington disease->Synaptojanin;;
synaptopodin 2,SYNPO2,171024,synaptic protein,,,,,Synpo2,h Up,,h Up,,,,,,widespread,medium,+++,ubiquitous(6),+++,ubiquitous(6),+++,ubiquitous(6),-,none,-,none,Actin binding cytoskeletal protein,Tumor suppressor;Cell structure;Cell motility,
synaptoporin  ,SYNPR,132204,synaptic protein,,,interneuron,interneuron/layer6,Synpr,,hV-mV,,,,,V1 ≠ TEa,,laminar,high,++++,layer 6+scattered,++++,layer 6+scattered,++++,layer 6+scattered,+++++,scattered,+++++,layer 6+scattered,Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,Synaptic_vesicle_trafficking->Synaptophysin;;
synaptophysin,SYP,6855,synaptic protein,mental retardation,,,,Syp,,,no mouse coronal data,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,ubiquitous,,,+++++,ubiquitous,,,Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,Synaptic_vesicle_trafficking->Synaptophysin;;
synaptophysin-like protein,SYPL1,6856,synaptic protein,,,,,Sypl,,,,,,,,,widespread,medium,++,ubiquitous+oligodendrocyte,++,ubiquitous+oligodendrocyte,++,ubiquitous+oligodendrocyte,++++,scattered+oligodendrocyte,++++,scattered+oligodendrocyte,Vesicle coat protein,General vesicle transport,
synaptophysin-like 2  ,SYPL2,284612,synaptic protein,,,,,Sypl2,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,++,ubiquitous,,,Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,Synaptic_vesicle_trafficking->Synaptophysin;;
synaptotagmin I,SYT1,6857,synaptic protein,epilepsy,,,,Syt1,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,Synaptic_vesicle_trafficking->Synaptotagmin;;
synaptotagmin X  ,SYT10,341359,synaptic protein,,,layer 2/6,layer 6,Syt10,,,,,,,,,laminar,medium,++,sparse(6),++,sparse(6),++,sparse(6),+++,"layer 2,6",+++,"layer 2,6",Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,
synaptotagmin XI  ,SYT11,23208,synaptic protein,,,,,Syt11,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Membrane traffic regulatory protein,Regulated exocytosis;Neurotransmitter release,Synaptic_vesicle_trafficking->Synaptotagmin;;
synaptotagmin XII  ,SYT12,91683,synaptic protein,,,,,Syt12,,,,hT-mT,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",++,ubiquitous,++,ubiquitous,++++,"layer 2/3,5d,6",++++,"scattered(5,6)",Membrane traffic regulatory protein,Cell communication;Exocytosis;Transport;Neurotransmitter release,Synaptic_vesicle_trafficking->Synaptotagmin;;
